favorite_count,tweet_id,retweet_count
39467,892420643555336193,8853
33819,892177421306343426,6514
25461,891815181378084864,4328
42908,891689557279858688,8964
41048,891327558926688256,9774
20562,891087950875897856,3261
12041,890971913173991426,2158
56848,890729181411237888,16716
28226,890609185150312448,4429
32467,890240255349198849,7711
31166,890006608113172480,7624
28268,889880896479866881,5156
38818,889665388333682689,8538
27672,889638837579907072,4735
15359,889531135344209921,2321
25652,889278841981685760,5637
29611,888917238123831296,4709
26080,888804989199671297,4559
20290,888554962724278272,3732
22201,888078434458587136,3653
30779,887705289381826560,5609
46959,887517139158093824,12082
69871,887473957103951883,18781
34222,887343217045368832,10737
31061,887101392804085760,6167
35859,886983233522544640,8084
12306,886736880519319552,3443
22798,886680336477933568,4610
21524,886366144734445568,3316
117,886267009285017600,4
28469,886258384151887873,6523
33382,885984800019947520,7097
36689,885528943205470208,6683
20788,885518971528720385,3899
22367,885167619883638784,4556
68152,884925521741709313,16439
28514,884876753390489601,6096
24765,884562892145688576,5100
27478,884441805382717440,5856
74423,884247878851493888,21298
20771,884162670584377345,3128
22349,883838122936631299,3586
46860,883482846933004288,10407
22986,883360690899218434,3825
37914,883117836046086144,6949
24445,882992080364220416,4122
28903,882762694511734784,5134
28382,882627270321602560,6342
45880,882268110199369728,12118
29900,882045870035918850,5203
24773,881906580714921986,3533
51522,881666595344535552,11099
129,881633300179243008,7
50199,881536004380872706,16570
23501,881268444196462592,5358
17346,880935762899988482,2886
21734,880872448815771648,3989
29075,880465832366813184,6546
27640,880221127280381952,4436
28150,880095782870896641,4533
22667,879862464715927552,3642
315,879674319642796034,10
23822,879492040517615616,3323
107956,879415818425184262,45849
17099,879376492567855104,3261
23022,879050749262655488,4941
19317,879008229531029506,2812
19763,878776093423087618,4319
30931,878604707211726852,7582
7913,878281511006478336,1349
42876,878057613040115712,7181
71144,877736472329191424,17300
23258,877556246731214848,3994
27907,877316821321428993,5414
27755,877201837425926144,5880
21125,876838120628539392,3506
23869,876537666061221889,4800
19163,876484053909872640,2511
28490,876120275196170240,4903
25773,875747767867523072,4497
22185,875144289856114688,5081
27997,875097192612077568,6342
26022,875021211251597312,4922
28439,874680097055178752,4875
26651,874296783580663808,4308
23134,874057562936811520,4125
35501,874012996292530176,11007
24837,873580283840344065,4143
7467,873213775632977920,1667
28031,872967104147763200,5669
15029,872820683541237760,3884
21309,872620804844003328,3911
41606,872486979161796608,9429
35085,872261713294495745,6649
35324,872122724285648897,8549
39090,871879754684805121,11918
20787,871762521631449091,3678
20730,871515927908634625,3628
21461,871102520638267392,5764
23255,871032628920680449,3999
33791,870804317367881728,6393
121,870726314365509632,3
12819,870656317836468226,2817
85011,870374049280663552,27680
22453,870308999962521604,4384
37771,870063196459192321,8840
43710,869772420881756160,10663
29116,869702957897576449,6728
16476,869596645499047938,3327
21112,869227993411051520,4023
55098,868880397819494401,12518
28295,868622495443632128,6275
10539,868552278524837888,2240
24964,867900495410671616,4439
35179,867774946302451713,7788
16755,867421006826221569,2697
33420,867051520902168576,8425
20888,866720684873056260,5168
20070,866686824827068416,3727
106827,866450705531457537,32883
54720,866334964761202691,15546
26640,865718153858494464,6008
27530,865359393868664832,5384
29063,865006731092295680,8209
33651,864873206498414592,9361
15195,864279568663928832,3266
31459,864197398364647424,9616
21477,863907417377173506,4441
15935,863553081350529029,4489
24829,863432100342583297,5664
2363,863427515083354112,105
9094,863079547188785154,1195
8945,863062471531167744,2687
20011,862831371563274240,5457
17779,862722525377298433,3809
21492,862457590147678208,5388
66437,862096992088072192,21840
37744,861383897657036800,11528
18032,861288531465048066,4479
17538,861005113778896900,4119
7878,860563773140209665,2334
24678,860524505164394496,5698
19154,860276583193509888,3745
17474,860184849394610176,6295
20021,859924526012018688,4349
16105,859851578198683649,3780
19476,859607811541651456,1704
75193,859196978902773760,25661
35553,859074603037188101,14740
16304,858843525470990336,3771
22640,858471635011153920,5271
16524,858107933456039936,3154
16952,857989990357356544,2812
36021,857746408056729600,11524
6236,857393404942143489,1785
21041,857263160327368704,4934
242,857214891891077121,20
19910,857029823797047296,4364
17135,856543823941562368,3131
12446,856526610513747968,2068
545,856288084350160898,17
29086,856282028240666624,6841
320,855862651834028034,27
4407,855860136149123072,1058
12498,855857698524602368,2313
47844,855851453814013952,19196
28056,855818117272018944,5943
31657,855459453768019968,8987
24188,854732716440526848,6690
31131,854482394044301312,7608
20046,854365224396361728,5159
33911,854120357044912130,8285
17169,854010172552949760,3433
30414,853760880890318849,6403
37198,853639147608842240,11265
16508,853299958564483072,3928
9658,852912242202992640,2037
15939,852672615818899456,2388
17492,852553447878664193,3885
35325,852311364735569921,10961
21378,852226086759018497,7570
12217,852189679701164033,1741
17300,851591660324737024,3819
25944,851464819735769094,7855
22090,851224888060895234,6350
33348,850753642995093505,10352
13994,850380195714523136,2915
3647,850333567704068097,367
17519,850145622816686080,4244
21944,850019790995546112,5459
32390,849776966551130114,8404
17039,849412302885593088,3487
12240,849336543269576704,2101
32617,849051919805034497,7396
27104,848690551926992896,4826
20229,848324959059550208,4037
8834,848213670039564288,832
17618,848212111729840128,3444
25296,847962785489326080,5730
5935,847842811428974592,1522
7558,847617282490613760,468
20208,847606175596138505,3774
22036,847251039262605312,4800
21588,847157206088847362,6572
23108,847116187444137987,3583
21685,846874817362120707,4404
48410,846514051647705089,13076
15304,846505985330044928,3492
34394,846153765933735936,10226
33188,846139713627017216,10972
17256,846042936437604353,3224
31737,845812042753855489,9894
27154,845677943972139009,5365
8241,845397057150107648,2072
25225,845306882940190720,6039
14738,844979544864018432,2909
16361,844973813909606400,3617
42022,844704788403113984,11633
17871,844580511645339650,3533
14753,844223788422217728,2450
16327,843981021012017153,3285
23211,843856843873095681,5220
18310,843604394117681152,3081
23315,843235543001513987,6852
16440,842846295480000512,4023
7321,842765311967449089,1439
19637,842535590457499648,3937
26569,842163532590374912,6568
15204,842115215311396866,3386
27854,841680585030541313,8748
13755,841439858740625411,4168
21402,841320156043304961,6080
17305,841314665196081154,5312
24926,841077006473256960,5991
197,840698636975636481,3
13377,840696689258311684,1116
9761,840632337062862849,1972
17918,840370681858686976,5146
20950,840268004936019968,6497
14640,839990271299457024,2597
29957,839549326359670784,8805
29684,839239871831150596,7422
21289,838952994649550848,4505
12183,838921590096166913,2357
11892,838561493054533637,1504
24664,838476387338051585,5484
1824,838150277551247360,370
150,838085839343206401,0
19183,838083903487373313,3582
37277,837820167694528512,8952
4204,837482249356513284,495
13967,837471256429613056,2631
23074,837366284874571778,6005
17480,837110210464448512,2731
13879,836989968035819520,2610
21029,836753516572119041,5237
13782,836677758902222849,2522
16037,836380477523124226,3337
23177,836260088725786625,4850
20924,836001077879255040,4935
19447,835574547218894849,4121
17847,835297930240217089,3381
8503,835264098648616962,1939
2259,835246439529840640,83
28552,835172783151792128,6516
24574,835152434251116546,3443
11838,834931633769889797,1878
22943,834786237630337024,6159
14993,834574053763584002,2882
10512,834458053273591808,1899
22594,834209720923721728,5476
17194,834167344700198914,4130
10971,834089966724603904,2427
14296,834086379323871233,2512
14661,833863086058651648,2729
16728,833826103416520705,3904
22585,833722901757046785,3636
16258,833479644947025920,2357
22133,833124694597443584,5513
14549,832998151111966721,2522
18423,832757312314028032,4127
13017,832682457690300417,3368
3195,832645525019123713,594
17379,832636094638288896,3220
13126,832397543355072512,2548
18792,832369877331693569,3652
12385,832273440279240704,2673
72,832088576586297345,3
13887,832032802820481025,4746
26404,831939777352105988,7031
369,831926988323639298,39
30380,831911600680497154,7458
11469,831670449226514432,2059
7908,831650051525054464,2243
9872,831552930092285952,2632
10042,831322785565769729,1744
7117,831315979191906304,1264
12819,831309418084069378,2786
13066,831262627380748289,2350
8735,830956169170665475,1735
73397,830583320585068544,19297
10804,830097400375152640,3455
13441,829861396166877184,2243
34913,829501995190984704,12224
11519,829449946868879360,2329
38074,829374341691346946,10706
26952,829141528400556032,8530
58302,829011960981237760,18627
28085,828770345708580865,6746
40241,828708714936930305,12882
10467,828650029636317184,1544
6898,828409743546925057,1305
8398,828408677031882754,1477
13864,828381636999917570,2554
8112,828376505180889089,1216
13756,828372645993398273,3344
2408,828361771580813312,195
12923,828046555563323392,3260
11411,828011680017821696,2451
22180,827933404142436356,5987
16983,827653905312006145,3433
8143,827600520311402496,1082
17523,827324948884643840,3510
11659,827199976799354881,2579
23767,826958653328592898,5757
40325,826848821049180160,11878
5637,826598799820865537,292
11117,826598365270007810,2709
20275,826476773533745153,4821
14614,826240494070030336,2965
5361,826204788643753985,1075
17299,826115272272650244,3599
11525,825876512159186944,2146
14025,825829644528148480,2848
56413,825535076884762624,19669
20181,825147591692263424,5244
7020,825026590719483904,1483
16508,824775126675836928,4069
11113,824663926340194305,1993
12999,824325613288833024,11848
16625,824297048279236611,4463
5255,824025158776213504,679
11755,823939628516474880,3123
13826,823699002998870016,2772
14376,823581115634085888,3031
777,823333489516937216,31
17437,823322678127919110,4637
19139,822975315408461824,3958
132810,822872901745569793,48265
14576,822859134160621569,2622
16327,822610361945911296,3423
20083,822489057087389700,7390
31800,822462944365645825,17209
38832,822244816520155136,11421
12582,821886076407029760,2692
9317,821765923262631936,1899
8871,821522889702862852,2030
13075,821407182352777218,5053
280,821153421864615936,10
9718,821149554670182400,2320
10645,821107785811234820,2487
14021,821044531881721856,2636
34984,820749716845686786,11525
13518,820690176645140481,3716
3706,820314633777061888,648
21979,820078625395449857,7246
5927,819952236453363712,1369
14305,819924195358416896,5607
14916,819711362133872643,3604
10606,819588359383371776,2271
8008,819347104292290561,1383
2550,819238181065359361,462
25652,819227688460238848,7733
49960,819006400881917954,21794
95450,819004803107983360,42228
24597,818627210458333184,8564
10971,818614493328580609,2982
12127,818536468981415936,2873
12197,818259473185828864,2621
13671,818145370475810820,3014
5356,817908911860748288,906
57622,817827839487737858,31314
11901,817777686764523521,3084
13105,817536400337801217,3505
38260,817423860136083457,17504
6267,817415592588222464,1131
9690,817171292965273600,2326
13367,817120970343411712,3011
9517,817056546584727552,1927
11071,816816676327063552,2361
10905,816697700272001025,2545
33961,816450570814898180,9366
9564,816336735214911488,2269
9927,816091915477250048,2500
5545,815990720817401858,1207
25057,815966073409433600,9907
10937,815736392542261248,2625
9161,815639385530101762,1918
11467,815390420867969024,4407
8485,814986499976527872,1505
12511,814638523311648768,3130
9629,814530161257443328,2156
32000,814153002265309185,10080
10342,813910438903693312,2194
40402,813812741911748608,16267
9300,813800681631023104,2060
20783,813217897535406080,8476
10192,813202720496779264,2090
22085,813187593374461952,5096
10384,813172488309972993,2236
8588,813157409116065792,2557
9361,813142292504645637,2728
4968,813130366689148928,513
13242,813127251579564032,3652
11515,813112105746448384,3225
11694,813096984823349248,4207
10989,813081950185472002,3220
8865,813066809284972545,2276
23337,813051746834595840,8503
8380,812781120811126785,2191
7373,812709060537683968,1665
6787,812503143955202048,1424
8900,812466873996607488,2231
15224,812372279581671427,4252
8102,811985624773361665,1647
8429,811744202451197953,1884
6215,811647686436880384,872
14265,811627233043480576,3650
23302,811386762094317568,7444
5927,810984652412424192,1655
10093,810896069567610880,2090
12192,810657578271330305,3057
39640,810284430598270976,13369
16380,810254108431155201,3901
17250,809920764300447744,4521
7727,809448704142938112,1696
22246,809220051211603969,6554
14685,809084759137812480,4046
